gene,eds1,rgt1,lys14
YOR141C,0.1105116426,0.4380756576,0.4083327713
YMR033W,0.2924833463,0.2957030615,0.2810218897
YPR199C,0.3452944183,0.1324032848,0.6702665125
YPR200C,0.2924833463,0.2957030615,0.2810218897
YPR201W,0.2924833463,0.2957030615,0.2810218897
YLR392C,0.6054346718,0.6143311274,0.5724234027
YGR068C,0.1764829621,0.7722984286,0.7286530759
YLR242C,0.02703351644,0.4788230566,0.4455469236
YDR101C,0.4316314855,0.4380756576,0.4083327713
YPR085C,0.0667153126,0.3467744713,0.06018615829
YMR116C,0.5755552774,0.5841782136,0.5437250308
YOR058C,0.5434131951,0.5516678417,0.1626800992
YJL115W,0.1704633614,0.893747526,0.9637814838
YDL197C,0.2385005345,0.246875035,0.05482035611
YIL130W,0.7799602349,0.2050797622,0.1591375301
YJL170C,0.47164260140000003,0.4788230566,0.4455469236
YKL185W,0.3796057288,0.8302416836,0.939097882
YMR119W,0.3422899948,0.3467744713,0.3262435271
YNL159C,0.2118173982,0.5841782136,0.5437250308
YNL008C,0.1345599156,0.4788230566,0.4455469236
YKL052C,0.008594432991,0.3326122222,0.2507143808
YGR097W,0.1136704408,0.4837983081,0.3983289441
YDL088C,0.3422899948,0.3467744713,0.3262435271
YPR145W,0.9852078325,0.9527402585,0.9960216934
YGR124W,0.7273446086,0.9795260717,0.4379549748
YDR321W,0.3422899948,0.3467744713,0.3262435271
YLR155C,0.1812692469,0.1812692469,0.1812692469
YLR157C,0.1812692469,0.1812692469,0.1812692469
YLR158C,0.1812692469,0.1812692469,0.1812692469
YLR160C,0.1812692469,0.1812692469,0.1812692469
YPR093C,0.1105116426,0.4380756576,0.4083327713
YBL069W,0.09479136543,0.6682359796,0.07657786775
YER101C,0.7053475571,0.7146065626,0.6702665125
YDR184C,0.6054346718,0.6143311274,0.5724234027
YGL017W,0.388590433,0.3941424874,0.3686208547
YOR377W,0.5434131951,0.5516678417,0.5131004624
YGR177C,0.397053655,0.409699777,0.7104406316
YGL180W,0.2322413985,0.8183279683,0.4419214255
YLL042C,0.3422899948,0.3467744713,0.3262435271
YPR049C,0.08778412724,0.3941424874,0.3686208547
YBR217W,0.15963036319999999,0.5166156975,0.4804204137
YPR185W,0.4316314855,0.4380756576,0.4083327713
YBR128C,0.1854598955,0.5516678417,0.5131004624
YCR068W,0.5389267363,0.5536481754,0.8039073505
YMR159C,0.388590433,0.3941424874,0.07828195488
YLR423C,0.2389049713,0.2406387139,0.2327650362
YFR021W,0.5434131951,0.5516678417,0.5131004624
YOL082W,0.3632710753,0.9565362,0.757358996
YNL242W,0.5755552774,0.5841782136,0.5437250308
YDL113C,0.388590433,0.3941424874,0.3686208547
YPL100W,0.03549097509,0.5166156975,0.4804204137
YCL038C,0.3713887351,0.7353015911,0.6910057923
YLR431C,0.02951079413,0.6922935259,0.6481352398
YLR189C,0.3452944183,0.7146065626,0.6702665125
YJL178C,0.397053655,0.7544959397,0.7104406316
YPL166W,0.2389049713,0.2406387139,0.2327650362
YNR007C,0.2389049713,0.2406387139,0.2327650362
YDR022C,0.885927435,0.8927395753,0.5813943154
YIL146C,0.08778412724,0.3941424874,0.3686208547
YLR356W,0.8991305511,0.9727402602,0.9501438516
YOL083W,0.03112826954,0.2406387139,0.02947678516
YJL185C,0.4316314855,0.1141891759,0.4083327713
YLR211C,0.388590433,0.3941424874,0.3686208547
YLR312C,0.6198507776,0.8843535878,0.5631216679
YNL223W,0.726090038,0.7353015911,0.328112876
YOR152C,0.5217686446,0.8999110927,0.008046458807
YPL250C,0.02416159791,0.9991270351,4.012284061e-8
YPL149W,0.1588118917,0.409699777,0.7104406316
YHR171W,0.6590313242,0.6682359796,0.2567171145
YBL078C,0.3422899948,0.3467744713,0.3262435271
YDL149W,0.2924833463,0.2957030615,0.2810218897
YPR026W,0.6332106634,0.6422975318,0.5993167303
YMR301C,0.1854598955,0.5516678417,0.5131004624
YNR002C,0.6332106634,0.6422975318,0.2328582168
YDR384C,0.9450257867,0.08244034276,0.7333096992
YBL099W,0.2819214341,0.936672703,0.9100691492
YLR393W,0.6054346718,0.6143311274,0.5724234027
YNL315C,0.2924833463,0.2957030615,0.2810218897
YJL180C,0.2389049713,0.2406387139,0.2327650362
YLR295C,0.330070076,0.875311955,0.8386298653
YPL271W,0.7954502495,0.8041242264,0.1748464013
YDL004W,0.1854598955,0.5516678417,0.5131004624
YDR377W,0.2921610769,0.6682359796,0.6245185456
YML081C-A,0.7453723222,0.409699777,0.1291661751
YOL077W-A,0.5434131951,0.5516678417,0.5131004624
YJR121W,0.2924833463,0.2957030615,0.2810218897
YPR020W,0.2924833463,0.04880809038,0.04381349222
YDR350C,0.01979765083,3.290561288e-4,0.4083327713
YNR020C,0.47164260140000003,0.4788230566,0.1185454145
YMR098C,0.5088370774,0.5166156975,0.4804204137
YBR039W,0.2385005345,0.246875035,0.2091449909
YPL078C,0.2709687908,0.8437202276,0.8039073505
YDR298C,0.3103148044,0.5957945403,0.5248813005
Q0085,0.1812692469,0.1812692469,0.1812692469
YKL016C,0.5088370774,0.5166156975,0.4804204137
Q0080,0.1812692469,0.1812692469,0.1812692469
YML116W,0.397053655,0.7544959397,0.7104406316
YAL020C,0.3422899948,0.3467744713,0.3262435271
YNL259C,0.2924833463,0.2957030615,0.2810218897
YOR079C,0.1812692469,0.01752309631,0.1812692469
YFL010W-A,0.2389049713,0.2406387139,0.2327650362
YKL004W,0.1105116426,0.4380756576,0.4083327713
YOR011W,0.388590433,0.3941424874,0.3686208547
YLR114C,0.6590313242,0.6682359796,0.6245185456
YOL078W,0.388590433,0.3941424874,0.3686208547
YMR068W,0.3452944183,0.7146065626,0.304436914
YJR001W,0.3999679206,0.9670262361,0.6664784964
YEL064C,0.5434131951,0.5516678417,0.5131004624
YKL146W,0.7969175288,0.9531380512,0.2789895351
YNL101W,0.3452944183,0.3567555647,0.304436914
YBL089W,0.2389049713,0.2406387139,0.2327650362
YER119C,0.2389049713,0.2406387139,0.2327650362
YIL088C,0.6332106634,0.6422975318,0.06527966752
YPR122W,0.3422899948,0.3467744713,0.3262435271
YIL140W,0.6590313242,0.6682359796,0.2567171145
YIL124W,0.397053655,0.409699777,0.3515622182
YLL063C,0.47164260140000003,0.4788230566,0.4455469236
YOR113W,0.2924833463,0.2957030615,0.2810218897
YGR224W,0.3452944183,0.7146065626,0.304436914
YOR134W,0.2921610769,0.6682359796,0.6245185456
YBR068C,0.3615589297,0.9601666542,0.6331083634
YDR046C,0.2819661282,0.4533483384,0.1938475
YIL015W,0.3422899948,0.3467744713,0.3262435271
YKR099W,0.008983633818,9.769486334e-4,0.3262435271
YHR208W,0.4942117251,0.2442431737,0.7767010145
YJR148W,0.07425763137,0.5735020652,0.9259933835
YJL020C,0.01752309631,0.1812692469,0.1812692469
YPL255W,0.3632710753,0.09822654243,0.935010213
YHR040W,0.3422899948,0.3467744713,0.3262435271
YMR237W,0.1854598955,0.5516678417,0.5131004624
YKR027W,0.04768675073,0.2957030615,0.2810218897
YJL095W,0.4316314855,0.4380756576,0.4083327713
YER167W,0.1345599156,0.4788230566,0.1185454145
YDR361C,0.1345599156,0.4788230566,0.4455469236
YDR375C,0.15963036319999999,0.5166156975,0.4804204137
YIL033C,0.5088370774,0.5166156975,0.4804204137
YLR399C,0.2041006017,0.6878504436,0.8755564789
YDL070W,0.8371993284,0.8487478632,0.3367339582
YAL060W,0.9014227337,0.9077313409,0.1583252515
YAL061W,0.330070076,0.875311955,0.5442819322
YNL039W,0.47164260140000003,0.4788230566,0.4455469236
YOL164W,0.05596053657,0.2192952162,0.5437250308
YBR200W,0.7632972024,0.7722984286,0.7286530759
YER155C,0.5755552774,0.05920307317,0.5437250308
YPL115C,0.5755552774,0.5841782136,0.1857044738
YPL161C,0.2653328389,0.6422975318,0.2328582168
YLR412W,0.1105116426,0.4380756576,0.4083327713
YIL004C,0.5088370774,0.5166156975,0.4804204137
YPR176C,0.2389049713,0.2406387139,0.2327650362
YKR068C,0.4222203196,0.435363995,0.374719785
YJL031C,0.4316314855,0.4380756576,0.4083327713
YML077W,0.388590433,0.3941424874,0.3686208547
YJR053W,0.388590433,0.3941424874,0.3686208547
YOR198C,0.2389049713,0.2406387139,0.2327650362
YDR299W,0.3103148044,0.5957945403,0.5248813005
YGR282C,0.330070076,0.875311955,0.8386298653
Q0110,0.1812692469,0.1812692469,0.1812692469
Q0115,0.1812692469,0.1812692469,0.1812692469
Q0120,0.1812692469,0.1812692469,0.1812692469
YHR101C,0.5088370774,0.5166156975,0.4804204137
YCL029C,0.3422899948,0.3467744713,0.3262435271
YOR304C-A,0.2921610769,0.6682359796,0.6245185456
YER016W,0.1105116426,0.1141891759,0.4083327713
YGR286C,0.6336826134,0.6561535029,0.5473222872
YNR058W,0.7199917686,0.7343259552,0
YNR057C,0.7199917686,0.7343259552,0
YNR056C,0.2389049713,0.2406387139,0.2327650362
YJR089W,0.47164260140000003,0.4788230566,0.4455469236
YBR270C,0.0667153126,0.3467744713,0.3262435271
YJL058C,0.2924833463,0.2957030615,0.2810218897
YKL061W,0.5434131951,0.5516678417,0.5131004624
YFL007W,0.2924833463,0.2957030615,0.2810218897
YLR408C,0.47164260140000003,0.4788230566,0.1185454145
YER177W,0.02401272035,0.9187631355,0.3625164365
YDR099W,0.004962511244,0.6682359796,0.07657786775
YPL217C,0.0667153126,0.3467744713,0.3262435271
YBR141C,0.3422899948,0.3467744713,0.3262435271
YIL096C,0.8232357164,0.8315017396,0.005432481128
YLR063W,0.4316314855,0.4380756576,0.4083327713
YJR025C,0.18935107,0.6709343298,0.1463104924
YJR078W,0.7343296514,0.9317215579,0.4155291209
YJL060W,0.01979765083,0.4380756576,0.09781935116
YBL098W,0.7799602349,0.7888099874,0.7457200102
YLR231C,0.1764829621,0.7722984286,0.374719785
YFR047C,0.6332106634,0.6422975318,0.5993167303
YDR428C,0.2389049713,0.2406387139,0.2327650362
YNL271C,0.4316314855,0.4380756576,0.4083327713
YNL233W,0.6054346718,0.246875035,0.5724234027
YNL166C,0.5755552774,0.5841782136,0.1857044738
YIL159W,0.5434131951,0.5516678417,0.5131004624
YGR230W,0.773628815,0.9455239451,0.04465212139
YBL085W,0.9208100416,0.7343259552,0.6642254922
YER114C,0.1946622149,0.7888099874,0.7457200102
YLR267W,0.1946622149,0.7888099874,0.3975295134
YNL042W,0.05596053657,3.007302113e-4,0.5437250308
YNL275W,0.5088370774,0.5166156975,0.4804204137
YLR078C,0.2385005345,0.6143311274,0.5724234027
YCR032W,0.8232357164,0.8315017396,0.7907458729
YDL141W,0.4942117251,0.8183279683,0.1909633367
YLL015W,0.388590433,0.3941424874,0.3686208547
YDL074C,0.2924833463,0.2957030615,0.2810218897
YLR015W,0.4316314855,0.4380756576,0.4083327713
YDL231C,0.1253093718,0.3567555647,0.6702665125
YNR051C,0.4316314855,0.1141891759,1.376903865e-6
YGR246C,0.7632972024,0.7722984286,0.7286530759
YHR036W,0.4316314855,0.4380756576,0.4083327713
YBL097W,0.5755552774,0.5841782136,0.5437250308
YPL084W,0.005337660503,0.2957030615,0.04381349222
YGL007W,0.001900316802,0.5841782136,0.5437250308
YPR057W,0.5088370774,0.5166156975,0.02886708233
YER172C,0.1812692469,0.1812692469,0.1812692469
YGL247W,0.01378754748,0.3941424874,0.3686208547
YOL077C,0.47164260140000003,0.4788230566,0.4455469236
YDL037C,0.3422899948,0.3467744713,0.3262435271
YDR275W,0.1764829621,0.0631228909,0.374719785
YNL269W,0.2924833463,0.2957030615,0.2810218897
YNR069C,0.7053475571,0.3567555647,0.6702665125
YOL137W,0.3422899948,0.3467744713,0.3262435271
YBR290W,0.5434131951,0.1920064157,0.5131004624
YPR171W,0.4316314855,0.4380756576,0.4083327713
YFL025C,0.08778412724,0.3941424874,0.3686208547
YGR142W,0.1764829621,0.435363995,0.7286530759
YPL069C,0.47164260140000003,0.4788230566,0.4455469236
YDR252W,0.2389049713,0.2406387139,0.2327650362
YGR188C,0.1417274747,0.7353015911,0.6910057923
YMR055C,0.47164260140000003,0.4788230566,0.1185454145
YOR026W,0.6054346718,0.6143311274,0.5724234027
YGL174W,0.5088370774,0.5166156975,0.4804204137
YAR014C,0.47164260140000003,0.4788230566,0.4455469236
YEL029C,0.5755552774,0.2192952162,0.5437250308
YNR027W,0.2924833463,0.2957030615,0.2810218897
YKL092C,0.1345599156,0.4788230566,0.4455469236
YLR074C,0.3713887351,0.7353015911,0.6910057923
YOR078W,0.08778412724,0.3941424874,0.3686208547
YMR014W,0.08778412724,0.09054095765,0.3686208547
YCR047C,0.5755552774,0.5841782136,0.5437250308
YER014C-A,0.2389049713,0.2406387139,0.2327650362
YFL023W,0.5755552774,0.5841782136,0.5437250308
YCL014W,0.5755552774,0.5841782136,0.5437250308
YCR063W,0.04259374511,0.7353015911,0.6910057923
YGR262C,0.388590433,0.3941424874,0.3686208547
YJR092W,0.4708412391,0.2244940607,0.7617134839
YCR038C,0.1812692469,0.1812692469,0.1812692469
YLR319C,0.2924833463,0.2957030615,0.2810218897
YOR299W,0.003982767839,0.3251269711,0.8277989167
YLR353W,0.3632710753,0.8202412479,0.757358996
YGR041W,0.2653328389,0.2745601742,0.5993167303
YDL099W,0.2924833463,0.2957030615,0.2810218897
